,是否印標,印標人員,Tracking ID,尾碼,SKU ID,5,6,7,8,9,10,11,12,13,14,15,16,DATE,18,19,20,21
2,V,103001,TTWK000521786,13,9689528113_76923009419,12,9689528113,TTWK000521786,GINTWK0002203240517,Counted,9689528113_76923009419,依必朗兒童洗髮乳 700ml 抗菌/柔順/舒眠 現貨 蝦皮直送:柔順-海洋微風,12,正常,12,NO,sp3457@shopee.com,2022-03-25 8:07:43,1373612,TW_依必朗化學製藥股份有限公司(Consignment),詳情質檢,
3,V,103001,TTWK000528700,65,15933317265_96528835010,50,15933317265,TTWK000528700,GINTWK0002203240366,Checked,15933317265_96528835010,"ETUDE 玩轉色彩迷你眼彩盤(Loacker系列):03 覆盆莓優格,單品無贈品",50,正常,50,NO,sp99061@shopee.com,2022-03-24 16:52:50,766108,TW_愛茉莉太平洋股份有限公司_ETUDE HOUSE(SBS),詳情入庫驗收,
4,V,103001,TTWK000528701,43,7197238343_36905413709,100,7197238343,TTWK000528701,GINTWK0002203240365,Checked,7197238343_36905413709,ETUDE 素描高手造型眉筆 韓國 drawing eyebrow 官方旗艦店:#02,100,正常,100,NO,sp2688@shopee.com,2022-03-24 16:52:15,766108,TW_愛茉莉太平洋股份有限公司_ETUDE HOUSE(SBS),詳情入庫驗收,
5,V,103001,TTWK000528702,46,8889172746_66905454876,30,8889172746,TTWK000528702,GINTWK0002203240363,Checked,8889172746_66905454876,"ETUDE 睫對出色終極PICK睫毛膏 官方旗艦店:01Black,單品無贈品",30,正常,30,NO,sp2688@shopee.com,2022-03-24 16:50:40,766108,TW_愛茉莉太平洋股份有限公司_ETUDE HOUSE(SBS),詳情入庫驗收,
6,V,103001,TTWK000521781,80,10625963480_85523271021,12,10625963480,TTWK000521781,GINTWK0002203240521,Counted,10625963480_85523271021,紅牛REDCOW 聰勁即溶乳清蛋白 歐蕾/可可/曼特寧/芋香歐蕾/抹茶/紅豆歐蕾/珍珠奶茶/乳酸風味 2磅入 蝦皮直送:花生巧克力,12,正常,12,NO,sp0386@shopee.com,2022-03-25 8:18:20,729046,TW_奕瑪國際行銷股份有限公司(Consignment),詳情質檢,
7,V,103001,TTWK000528734,27,10125901527_46923068520,24,10125901527,TTWK000528734,GINTWK0002203240520,Counted,10125901527_46923068520,依必朗 兒童超氟漱口水 甜甜草莓/香香蘋果 350ml加贈350ml 現貨 蝦皮直送:香香蘋果,24,正常,24,NO,sp3457@shopee.com,2022-03-25 8:17:35,1373612,TW_依必朗化學製藥股份有限公司(Consignment),詳情質檢,詳情質檢
8,V,103001,TTWK000528727,70,10725980770_66923825290,60,10725980770,TTWK000528727,GINTWK0002203240410,Counted,10725980770_66923825290,RED COW紅牛 全脂/巧克力/果汁/香蕉/草莓 奶粉隨手包 40g(12入) 現貨 蝦皮直送:全脂,60,正常,60,NO,sp2907@shopee.com,2022-03-25 8:16:01,729046,TW_奕瑪國際行銷股份有限公司(Consignment),詳情質檢,詳情質檢
9,V,103001,TTWK000528731,13,9689528113_76923009420,12,9689528113,TTWK000528731,GINTWK0002203240519,Counted,9689528113_76923009420,依必朗兒童洗髮乳 700ml 抗菌/柔順/舒眠 現貨 蝦皮直送:舒眠-舒活森林,12,正常,12,NO,sp3457@shopee.com,2022-03-25 8:14:00,1373612,TW_依必朗化學製藥股份有限公司(Consignment),詳情質檢,詳情質檢
10,V,103001,TTWK000521780,80,10625963480_56923679013,12,10625963480,TTWK000521780,GINTWK0002203240523,Counted,10625963480_56923679013,紅牛REDCOW 聰勁即溶乳清蛋白 歐蕾/可可/曼特寧/芋香歐蕾/抹茶/紅豆歐蕾/珍珠奶茶/乳酸風味 2磅入 蝦皮直送:蜂蜜牛奶,12,正常,12,NO,sp0386@shopee.com,2022-03-25 8:12:05,729046,TW_奕瑪國際行銷股份有限公司(Consignment),詳情質檢,詳情質檢
11,V,103001,TTWK000521785,27,10125901527_46923068519,12,10125901527,TTWK000521785,GINTWK0002203240518,Counted,10125901527_46923068519,依必朗 兒童超氟漱口水 甜甜草莓/香香蘋果 350ml加贈350ml 現貨 蝦皮直送:甜甜草莓,12,正常,12,NO,sp3457@shopee.com,2022-03-25 8:12:00,1373612,TW_依必朗化學製藥股份有限公司(Consignment),詳情質檢,詳情質檢
