,是否印標,印標人員,Tracking ID,尾碼,SKU ID,5,6,7,8,9,10,11,12,13,14,15,16,DATE,18,19,20,21
2,V,42525,TTWK000558801,36,4897368836_84170830267,12,4897368836,TTWK000558801,GINTWK0002205140191,Counted,4897368836_84170830267,樂米穀場 台東池上競賽履歷米2kg (高食味值東部米) CNS一等 2020精饌米得獎品種 脫氧包裝 現貨 蝦皮直送,12,正常,12,NO,sp1409@shopee.com,2022-05-15 8:23:34,1029406,TW_樂米穀場股份有限公司(Consignment),詳情質檢,
3,V,42525,TTWK000542088,64,11725900564_27216958590,12,11725900564,TTWK000542088,GINTWK0002205140180,Counted,11725900564_27216958590,樂米穀場 花蓮富里產月光之星1.5kg 米質透亮 飯香清新 蝦皮直送 現貨:月光之星1.5kg,12,正常,12,NO,sp1409@shopee.com,2022-05-15 8:18:13,1029406,TW_樂米穀場股份有限公司(Consignment),詳情質檢,詳情質檢
4,V,42525,TTWK000536083,79,11225900179_84169572645,59,11225900179,TTWK000536083,GINTWK0002205140196,Counting,11225900179_84169572645,樂米穀場 台東 池上產新月艷姬1.5kg 蝦皮直送 現貨:池上產新月艷姬1.5kg,59,正常,0,NO,sp99062@shopee.com,2022-05-15 8:17:57,1029406,TW_樂米穀場股份有限公司(Consignment),詳情計數,詳情計數
5,V,42525,TTWK000542087,91,11625914391_66923216454,12,11625914391,TTWK000542087,GINTWK0002205140184,Counting,11625914391_66923216454,樂米穀場 初雪美姬米1.5kg (高食味值東部米) CNS一等 新品 日本牛奶皇后改良品種 脫氧包裝 現貨 蝦皮直送:初雪美姬米1.5kg,12,正常,0,NO,sp0880@shopee.com,2022-05-15 8:11:50,1029406,TW_樂米穀場股份有限公司(Consignment),詳情計數,詳情計數
6,V,42525,TTWK000542095,31,10325962731_76923634134,12,10325962731,TTWK000542095,GINTWK0002205140186,Counted,10325962731_76923634134,樂米穀場 花蓮富里契作有機糙米2kg (高食味值東部米) 脫氧包裝 現貨 蝦皮直送,12,正常,12,NO,sp0923@shopee.com,2022-05-15 8:43:53,1029406,TW_樂米穀場股份有限公司(Consignment),詳情質檢,
7,V,42525,TTWK000558807,34,10825959334_101418491924,36,10825959334,TTWK000558807,GINTWK0002205140200,Counted,10825959334_101418491924,樂米穀場 台東關山鎮農會關農好米6kg (高食味值東部米) CNS二等 產銷契作 家庭號 脫氧包裝 現貨 蝦皮直送,36,正常,36,NO,sp1344@shopee.com,2022-05-15 8:42:13,1029406,TW_樂米穀場股份有限公司(Consignment),詳情質檢,詳情質檢
8,V,42525,TTWK000558812,55,10825962355_84170793694,16,10825962355,TTWK000558812,GINTWK0002205140187,Counted,10825962355_84170793694,樂米穀場 台東池上一等香米6kg (高食味值東部米) CNS一等 正宗池上好米產地標章 脫氧包裝 現貨 蝦皮直送,16,正常,16,NO,sp0923@shopee.com,2022-05-15 8:41:38,1029406,TW_樂米穀場股份有限公司(Consignment),詳情質檢,詳情質檢
9,V,42525,TTWK000558809,48,14235369948_114941298938,10,14235369948,TTWK000558809,GINTWK0002205140344,Counting,14235369948_114941298938,PHILIPS 飛利浦 蒸氣電熨斗 DST3010 (紫色):紫,10,正常,0,NO,sp2907@shopee.com,2022-05-15 8:40:36,956972,TW_展碁國際股份有限公司(SBS),詳情計數,詳情計數
10,V,42525,TTWK000558808,35,4097240535_46905413112,15,4097240535,TTWK000558808,GINTWK0002205140346,Counted,4097240535_46905413112,PHILIPS 飛利浦 贈品-奈米級勁護HEPA&活性碳複合式S3型濾網-FY3430(零元加購賣場),15,正常,15,NO,sp2907@shopee.com,2022-05-15 8:39:48,956972,TW_展碁國際股份有限公司(SBS),詳情質檢,詳情質檢
11,V,42525,TTWK000558803,55,10061012755_131389749614,12,10061012755,TTWK000558803,GINTWK0002205140193,Counted,10061012755_131389749614,樂米穀場-日本新潟產越光米1.5KG 蝦皮直送 現貨:1.5K單包,12,正常,12,NO,sp1409@shopee.com,2022-05-15 8:38:35,1029406,TW_樂米穀場股份有限公司(Consignment),詳情質檢,詳情質檢
