,是否印標,印標人員,Tracking ID,尾碼,SKU ID,5,6,7,8,9,10,11,12,13,14,15,16,DATE,18,19,20,21
2,V,42525,TTWK000531959,37,10925896437_94169600371,50,10925896437,TTWK000531959,GINTWK0002204300176,Counted,10925896437_94169600371,福德好罩 福德醫用口罩 醫療口罩 質感風格系列 30入/盒 多款任選 蝦皮直送:帥氣藍,50,正常,50,NO,sp0923@shopee.com,2022-05-01 9:32:49,1302019,TW_福德窯業股份有限公司(Consignment),詳情質檢,
3,V,42525,TTWK000534038,31,10725901531_36923089436,10,10725901531,TTWK000534038,GINTWK0002204300305,Counted,10725901531_36923089436,親子御膳坊 寶寶粥 150g/2入 (七款可選) 副食品 加熱即食粥 0198 現貨 蝦皮直送:寶寶成長粥,10,正常,10,NO,sp99075@shopee.com,2022-05-01 9:31:47,693834,TW_承茂國際有限公司(Consignment),詳情質檢,詳情質檢
4,V,42525,TTWK000513462,19,6397247419_46905036856,130,6397247419,TTWK000513462,GINTWK0002204300114,Counted,6397247419_46905036856,Dr.Hsieh達特醫 杏仁酸全淨化沐浴露 500ml 抗痘控油 背痘 皮膚粗糙 沐浴乳 蝦皮直送,130,正常,130,NO,sp1225@shopee.com,2022-05-01 9:28:57,752365,TW_洸鼎生物科技有限公司(Consignment),詳情質檢,詳情質檢
5,V,42525,TTWK000531952,10,10025897610_36923069885,160,10025897610,TTWK000531952,GINTWK0002204300113,Counted,10025897610_36923069885,驅塵氏 靜電除塵紙 超值4入組 現貨 蝦皮直送:4入/組,160,正常,160,NO,sp99075@shopee.com,2022-05-01 9:28:24,677933,TW_花仙子企業股份有限公司(Consignment),詳情質檢,詳情質檢
6,V,42525,TTWK000531962,56,8989537456_46923667722,120,8989537456,TTWK000531962,GINTWK0002204300178,Counting,8989537456_46923667722,福德好罩 福德醫用口罩 醫療口罩 經典百搭系列 50入/盒 多款任選 蝦皮直送:櫻花粉,120,正常,0,NO,sp2382@shopee.com,2022-05-01 9:27:55,1302019,TW_福德窯業股份有限公司(Consignment),詳情計數,詳情計數
8,V,42525,TTWK000531949,50,10425959550_130409109457,155,10425959550,TTWK000531949,GINTWK0002204300072,Counting,10425959550_130409109457,果果堅果 乳清蛋白 500克/1公斤裝 不含湯匙(新舊包裝隨機出貨) 健身補給 運動 能量補充 乳清 蝦皮直送:濃縮乳清(原味)/1公斤,155,正常,0,NO,sp1344@shopee.com,2022-05-01 9:25:57,774040,TW_果果堅果企業社(Consignment),詳情計數,詳情計數
9,V,42525,TTWK000513465,37,10925896437_94169600371,30,10925896437,TTWK000513465,GINTWK0002204300176,Counted,10925896437_94169600371,福德好罩 福德醫用口罩 醫療口罩 質感風格系列 30入/盒 多款任選 蝦皮直送:帥氣藍,30,正常,30,NO,sp0923@shopee.com,2022-05-01 9:25:53,1302019,TW_福德窯業股份有限公司(Consignment),詳情質檢,詳情質檢
10,V,42525,TTWK000513455,50,10425959550_130409109457,65,10425959550,TTWK000513455,GINTWK0002204300072,Counted,10425959550_130409109457,果果堅果 乳清蛋白 500克/1公斤裝 不含湯匙(新舊包裝隨機出貨) 健身補給 運動 能量補充 乳清 蝦皮直送:濃縮乳清(原味)/1公斤,65,正常,65,NO,sp1344@shopee.com,2022-05-01 9:25:50,774040,TW_果果堅果企業社(Consignment),詳情質檢,詳情質檢
11,V,42525,TTWK000531951,10,10025897610_36923069885,140,10025897610,TTWK000531951,GINTWK0002204300113,Counted,10025897610_36923069885,驅塵氏 靜電除塵紙 超值4入組 現貨 蝦皮直送:4入/組,140,正常,140,NO,sp2382@shopee.com,2022-05-01 9:23:44,677933,TW_花仙子企業股份有限公司(Consignment),詳情質檢,詳情質檢
13,V,42525,TTWK000513464,37,10925896437_94169600373,91,10925896437,TTWK000513464,GINTWK0002204300189,Counting,10925896437_94169600373,福德好罩 福德醫用口罩 醫療口罩 質感風格系列 30入/盒 多款任選 蝦皮直送:低調黑,91,正常,0,NO,sp0880@shopee.com,2022-05-01 9:20:17,1302019,TW_福德窯業股份有限公司(Consignment),詳情計數,詳情計數
14,V,42525,TTWK000531950,10,10025897610_36923069885,160,10025897610,TTWK000531950,GINTWK0002204300113,Counted,10025897610_36923069885,驅塵氏 靜電除塵紙 超值4入組 現貨 蝦皮直送:4入/組,160,正常,160,NO,sp0923@shopee.com,2022-05-01 9:19:49,677933,TW_花仙子企業股份有限公司(Consignment),詳情質檢,詳情質檢
16,V,42525,TTWK000531956,28,11235799328_162129327576,108,11235799328,TTWK000531956,GINTWK0002204300171,Counting,11235799328_162129327576,福德好罩 福德醫用口罩 醫療口罩 都會雅緻系列 莫蘭迪色系 30入/盒 蝦皮直送 現貨:限定款 真心橙意組(內含3色),0,正常,0,NO,sp3342@shopee.com,2022-05-01 9:18:37,1302019,TW_福德窯業股份有限公司(Consignment),詳情計數,詳情計數
17,V,42525,TTWK000534043,28,11235799328_162129327576,12,11235799328,TTWK000534043,GINTWK0002204300171,Counted,11235799328_162129327576,福德好罩 福德醫用口罩 醫療口罩 都會雅緻系列 莫蘭迪色系 30入/盒 蝦皮直送 現貨:限定款 真心橙意組(內含3色),12,正常,12,NO,sp3342@shopee.com,2022-05-01 9:18:22,1302019,TW_福德窯業股份有限公司(Consignment),詳情質檢,詳情質檢
19,V,42525,TTWK000534037,10,10025897610_36923069885,20,10025897610,TTWK000534037,GINTWK0002204300113,Counted,10025897610_36923069885,驅塵氏 靜電除塵紙 超值4入組 現貨 蝦皮直送:4入/組,20,正常,20,NO,sp2382@shopee.com,2022-05-01 9:15:51,677933,TW_花仙子企業股份有限公司(Consignment),詳情質檢,詳情質檢
22,V,42525,TTWK000513456,95,11625951495_36923579979,120,11625951495,TTWK000513456,GINTWK0002204300080,Counting,11625951495_36923579979,驅塵氏 抗菌濕拖巾 薰衣草/檸檬/茶樹/檜木/防蹣抗敏 單包/3+1超值組 現貨 蝦皮直送:3包薰衣草送1包檜木香,0,正常,0,NO,sp1409@shopee.com,2022-05-01 9:12:52,677933,TW_花仙子企業股份有限公司(Consignment),詳情計數,詳情計數
25,V,42525,TTWK000531954,95,11625951495_36923579979,288,11625951495,TTWK000531954,GINTWK0002204300080,Counting,11625951495_36923579979,驅塵氏 抗菌濕拖巾 薰衣草/檸檬/茶樹/檜木/防蹣抗敏 單包/3+1超值組 現貨 蝦皮直送:3包薰衣草送1包檜木香,288,正常,0,NO,sp2907@shopee.com,2022-05-01 9:07:50,677933,TW_花仙子企業股份有限公司(Consignment),詳情計數,詳情計數
40,V,42525,TTWK000513470,91,3597409191_84170823218,7,3597409191,TTWK000513470,GINTWK0002204300349,Counting,3597409191_84170823218,藍貓BlueCat 雙面防水枕套 多款任選 現貨 蝦皮直送:枕套-雙面防水-湖水綠,7,正常,0,NO,sp2382@shopee.com,2022-05-01 9:53:55,745843,TW_​樂禾田企業社(Consignment),詳情計數,
41,V,42525,TTWK000552925,72,12351741172_140013876532,38,12351741172,TTWK000552925,GINTWK0002204300312,Counted,12351741172_140013876532,Aesop 悟香水/馥香水/熾香水/馬拉喀什馥郁香水 50ml 蝦皮直送 現貨:熾香水50ml,38,正常,38,NO,sp2907@shopee.com,2022-05-01 9:53:28,996022,TW_跨境豐收股份有限公司(outright),詳情質檢,詳情質檢
42,V,42525,TTWK000513458,85,14455806085_105528623087,10,14455806085,TTWK000513458,GINTWK0002204300324,Counted,14455806085_105528623087,星紅織品 美國棉 飯店專用歐洲色系重磅毛巾 長毛款 1入多色任選:粉色,10,正常,10,NO,sp99075@shopee.com,2022-05-01 9:53:22,845961,TW_星紅實業有限公司(Consignment),詳情質檢,詳情質檢
43,V,42525,TTWK000531955,19,6397247419_46905036856,370,6397247419,TTWK000531955,GINTWK0002204300114,Counting,6397247419_46905036856,Dr.Hsieh達特醫 杏仁酸全淨化沐浴露 500ml 抗痘控油 背痘 皮膚粗糙 沐浴乳 蝦皮直送,370,正常,0,NO,sp1225@shopee.com,2022-05-01 9:52:46,752365,TW_洸鼎生物科技有限公司(Consignment),詳情計數,詳情計數
44,V,42525,TTWK000552923,85,14455806085_105528623089,10,14455806085,TTWK000552923,GINTWK0002204300325,Counted,14455806085_105528623089,星紅織品 美國棉 飯店專用歐洲色系重磅毛巾 長毛款 1入多色任選:白色,10,正常,10,NO,sp99075@shopee.com,2022-05-01 9:52:09,845961,TW_星紅實業有限公司(Consignment),詳情質檢,詳情質檢
45,V,42525,TTWK000531960,56,8989537456_46923667723,90,8989537456,TTWK000531960,GINTWK0002204300174,Counting,8989537456_46923667723,福德好罩 福德醫用口罩 醫療口罩 經典百搭系列 50入/盒 多款任選 蝦皮直送:雲彩紫,90,正常,0,NO,sp0923@shopee.com,2022-05-01 9:51:41,1302019,TW_福德窯業股份有限公司(Consignment),詳情計數,詳情計數
46,V,42525,TTWK000513467,56,8989537456_46923667723,30,8989537456,TTWK000513467,GINTWK0002204300174,Counted,8989537456_46923667723,福德好罩 福德醫用口罩 醫療口罩 經典百搭系列 50入/盒 多款任選 蝦皮直送:雲彩紫,30,正常,30,NO,sp0923@shopee.com,2022-05-01 9:50:29,1302019,TW_福德窯業股份有限公司(Consignment),詳情質檢,詳情質檢
47,V,42525,TTWK000534045,72,12351741172_140013876532,12,12351741172,TTWK000534045,GINTWK0002204300312,Counted,12351741172_140013876532,Aesop 悟香水/馥香水/熾香水/馬拉喀什馥郁香水 50ml 蝦皮直送 現貨:熾香水50ml,12,正常,12,NO,sp2907@shopee.com,2022-05-01 9:50:08,996022,TW_跨境豐收股份有限公司(outright),詳情質檢,詳情質檢
48,V,42525,TTWK000534044,20,11325224820_111388257547,12,11325224820,TTWK000534044,GINTWK0002204300313,Counted,11325224820_111388257547,ISANA 精華膠囊 時空膠囊 7顆/片 蝦皮直送 現貨 (部分即期):角鯊烷保濕修護(藍),12,正常,12,NO,sp2907@shopee.com,2022-05-01 9:46:55,1164045,TW_嘉亨科技股份有限公司(Consignment),詳情質檢,詳情質檢
