,是否印標,印標人員,Tracking ID,尾碼,SKU ID,5,6,7,8,9,10,11,12,13,14,15,16,DATE,18,19,20,21
2,V,103001,TTWK000571933,61,10025978461_36923918216,120,10025978461,TTWK000571933,GINTWK0002206160621,Counted,10025978461_36923918216,3M 雙線細滑牙線棒 124支/盒 128支/袋 現貨 蝦皮直送:盒裝124支,120,正常,120,NO,sp99061@shopee.com,2022-06-16 18:57:48,678018,TW_倈溢股份有限公司(Consignment),詳情質檢,
3,V,103001,TTWK000571932,59,6197370559_94169577032,36,6197370559,TTWK000571932,GINTWK0002206160009,Counted,6197370559_94169577032,Farcent香水 男性專用香水胺基酸沐浴露 780g 雪松琥珀/冷杉麝香 2款可選 蝦皮直送 現貨:雪松琥珀 涼感淨化,36,正常,36,NO,sp2974@shopee.com,2022-06-16 18:57:00,677933,TW_花仙子企業股份有限公司(Consignment),詳情質檢,
5,V,103001,TTWK000548001,82,11725946382_84170537213,276,11725946382,TTWK000548001,GINTWK0002206160018,Counted,11725946382_84170537213,3M 細滑牙線棒 150支 現貨 蝦皮直送,276,正常,276,NO,sp99061@shopee.com,2022-06-16 18:56:04,678018,TW_倈溢股份有限公司(Consignment),詳情質檢,
6,V,103001,TTWK000571931,04,11625966004_56923691823,12,11625966004,TTWK000571931,GINTWK0002206160010,Counted,11625966004_56923691823,Farcent花仙子 香水胺基酸沐浴露 780g 現貨 蝦皮直送:真我星夜,12,正常,12,NO,sp2974@shopee.com,2022-06-16 18:55:26,677933,TW_花仙子企業股份有限公司(Consignment),詳情質檢,
7,V,103001,TTWK000548092,30,11325957830_56923623399,310,11325957830,TTWK000548092,GINTWK0002206160269,Counted,11325957830_56923623399,愛爾康 超效保養液 2瓶組 355ml/瓶x2瓶 長效舒適配方 全天保濕 隱形眼鏡 保養液 原廠公司貨 現貨 蝦皮直送,310,正常,310,NO,sp99007@shopee.com,2022-06-16 18:54:48,709469,TW_沅廷企業有限公司(Consignment),詳情質檢,
9,V,103001,TTWK000568160,35,10725901035_66923001797,12,10725901035,TTWK000568160,GINTWK0002206160015,Counted,10725901035_66923001797,偉嘉 貓乾糧 七種口味 室內貓/幼貓/化毛 小包裝 現貨 蝦皮直送1.1/1.2kg:幼貓/懷孕母貓專用乾糧1.1kg,12,正常,12,NO,sp2974@shopee.com,2022-06-16 18:54:07,1010949,TW_愛上大數據股份有限公司(Consignment),詳情質檢,
10,V,103001,TTWK000571930,82,11725946382_84170537213,12,11725946382,TTWK000571930,GINTWK0002206160018,Counted,11725946382_84170537213,3M 細滑牙線棒 150支 現貨 蝦皮直送,12,正常,12,NO,sp99061@shopee.com,2022-06-16 18:53:19,678018,TW_倈溢股份有限公司(Consignment),詳情質檢,
11,V,103001,TTWK000568159,33,11225965433_27217555884,3,11225965433,TTWK000568159,GINTWK0002206160012,Counted,11225965433_27217555884,Farcent 香水奇蹟護髮素600ml 鼠尾草/小蒼蘭/同名花語/真我星夜 現貨 蝦皮直送:微醺小蒼蘭護髮素(粉),3,正常,3,NO,sp2974@shopee.com,2022-06-16 18:52:18,677933,TW_花仙子企業股份有限公司(Consignment),詳情質檢,
12,V,103001,TTWK000545033,68,15633238068_123521285839,150,15633238068,TTWK000545033,GINTWK0002206160417,Counted,15633238068_123521285839,SanDisk Ultra Go USB Type-C 雙用隨身碟128GB 四色可選 現貨 蝦皮直送:黑色,150,正常,150,NO,sp99029@shopee.com,2022-06-17 9:11:07,729406,TW_增你強股份有限公司(Consignment),詳情質檢,
13,V,103001,TTWK000568221,44,16502152744_28520084042,200,16502152744,TTWK000568221,GINTWK0002206160239,Counting,16502152744_28520084042,ESTEE LAUDER 雅詩蘭黛 特潤眼部超能量修護霜15ml 眼霜 修復霜 特潤 正品保證 現貨 蝦皮直送:一入,0,正常,0,NO,sp99061@shopee.com,2022-06-17 9:10:31,1392342,TW_塞席爾商萬喜達國際有限公司台灣分公司(Outright),詳情計數,詳情計數
